item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
10623,GM FENNEL SEED 10X800G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10624,GM KALA CHANA 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10625,GM KALA CHANA 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10626,GM MASOOR DAL 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10627,GM MASOOR DAL 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10629,GM METHI (FENUGREEK) SEED 10X800G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10630,RATLAMI SEV NAMKEEN 15X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10631,GM PHOOL MAKHANA 20X100G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10632,GM PHOOL MAKHANA 20X200G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10636,GM PONNI RAW RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10637,GM RAGI FLOUR 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10638,GM RAGI FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10639,GM SOOJI FINE 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10640,GM SOOJI FINE 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10641,GM SOOJI FINE 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10644,GM TURMERIC POWDER 10X800G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10682,KARACHI 3IN1 FRUIT + CASHEW + G.PISTA BISCUIT 14X600G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10690,LG HING 100X100G (MASTER CASE),Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
